beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
131,149.0625,2019-06-06 06:26:59.062500,35775,1079.1666666666665,579.1666666666667,35689.0,35749,35802,220.83333333333331,250.0,35852.0,,320.83333333333337,,,,,
132,149.64166666666668,2019-06-06 06:26:59.641667,35914,579.1666666666667,462.5,35845.0,35904,35922,75.0,245.83333333333331,36023.0,,454.1666666666667,,,,,
133,150.10416666666666,2019-06-06 06:27:00.104167,36025,462.5,637.5,35939.0,35999,36051,216.66666666666669,250.0,36167.0,,591.6666666666666,,,,,
134,150.74166666666667,2019-06-06 06:27:00.741667,36178,637.5,570.8333333333333,36111.0,36151,36183,133.33333333333334,166.66666666666666,36281.0,,429.16666666666663,,,,,
135,151.3125,2019-06-06 06:27:01.312500,36315,570.8333333333333,570.8333333333333,36265.0,36305,36329,100.0,166.66666666666666,36407.0,,383.33333333333337,,,,,
136,151.88333333333333,2019-06-06 06:27:01.883333,36452,570.8333333333333,1195.8333333333333,36369.0,36428,36478,208.33333333333334,245.83333333333331,36596.0,,600.0,,,,,
137,153.07916666666668,2019-06-06 06:27:03.079167,36739,1195.8333333333333,775.0,36660.0,36713,36759,191.66666666666669,220.83333333333331,36835.0,,400.0,,,,,
138,153.85416666666666,2019-06-06 06:27:03.854167,36925,775.0,945.8333333333333,36855.0,36914,36951,154.16666666666669,245.83333333333331,37050.0,,520.8333333333334,,,,,
139,154.8,2019-06-06 06:27:04.800000,37152,945.8333333333333,512.5,,37126,37178,216.66666666666669,,37275.0,,512.5,,,,,
140,155.3125,2019-06-06 06:27:05.312500,37275,512.5,691.6666666666666,37216.0,37265,37301,150.0,204.16666666666666,37311.0,,150.0,,,,,
141,156.00416666666666,2019-06-06 06:27:06.004167,37441,691.6666666666666,545.8333333333333,37406.0,37434,37450,66.66666666666667,116.66666666666667,37550.0,,454.1666666666667,,,,,
142,156.55,2019-06-06 06:27:06.550000,37572,545.8333333333333,916.6666666666666,37504.0,37563,37585,91.66666666666666,245.83333333333331,37632.0,,250.0,,,,,
143,157.46666666666667,2019-06-06 06:27:07.466667,37792,916.6666666666666,783.3333333333334,37740.0,37778,37801,95.83333333333334,158.33333333333331,37828.0,,150.0,,,,,
144,158.25,2019-06-06 06:27:08.250000,37980,783.3333333333334,637.5,37918.0,37953,38007,225.0,145.83333333333334,38117.0,,570.8333333333333,,,,,
145,158.8875,2019-06-06 06:27:08.887500,38133,637.5,541.6666666666666,38070.0,38106,38148,175.0,150.0,38185.0,,216.66666666666669,,,,,
146,159.42916666666667,2019-06-06 06:27:09.429167,38263,541.6666666666666,612.5,38221.0,38253,38289,150.0,133.33333333333334,38407.0,,600.0,,,,,
147,160.04166666666666,2019-06-06 06:27:10.041667,38410,612.5,537.5,38340.0,38400,38423,95.83333333333334,250.0,38459.0,,204.16666666666666,,,,,
148,160.57916666666668,2019-06-06 06:27:10.579167,38539,537.5,612.5,38462.0,38522,38551,120.83333333333333,250.0,38681.0,,591.6666666666666,,,,,
149,161.19166666666666,2019-06-06 06:27:11.191667,38686,612.5,3525.0,38623.0,38659,38694,145.83333333333334,150.0,38722.0,,150.0,,,,,
150,164.71666666666667,2019-06-06 06:27:14.716667,39532,3525.0,454.1666666666667,39491.0,39525,39558,137.5,141.66666666666666,39568.0,,150.0,,,,,
151,165.17083333333332,2019-06-06 06:27:15.170833,39641,454.1666666666667,537.5,39575.0,39635,39646,45.83333333333333,250.0,39736.0,,395.8333333333333,,,,,
152,165.70833333333334,2019-06-06 06:27:15.708333,39770,537.5,570.8333333333333,39684.0,39743,39796,220.83333333333331,245.83333333333331,39908.0,,575.0,,,,,
153,166.27916666666667,2019-06-06 06:27:16.279167,39907,570.8333333333333,679.1666666666667,39853.0,39880,39934,225.0,112.5,40051.0,,600.0,,,,,
154,166.95833333333334,2019-06-06 06:27:16.958333,40070,679.1666666666667,875.0,39983.0,40043,40079,150.0,250.0,40106.0,,150.0,,,,,
155,167.83333333333334,2019-06-06 06:27:17.833333,40280,875.0,616.6666666666667,40214.0,40273,40288,62.5,245.83333333333331,40424.0,,600.0,,,,,
